model                  thr         test        tok/s   +/- sd
--------------------------------------------------------------
bitnet_i2s               1        tg128        12.50     0.48
bitnet_i2s               1        pp128        57.46     2.19
bitnet_i2s               1        pp512        51.68     1.55
bitnet_i2s               1       pp2048        39.38     0.59
bitnet_i2s               2        tg128        21.20     1.56
bitnet_i2s               2        pp128        90.83     7.98
bitnet_i2s               2        pp512        74.34     6.05
bitnet_i2s               2       pp2048        68.07     5.80
bitnet_i2s               4        tg128        28.57     1.60
bitnet_i2s               4        pp128        56.96     4.56
bitnet_i2s               4        pp512       108.88     5.22
bitnet_i2s               4       pp2048        88.17     3.49
bitnet_i2s               8        tg128        26.83     0.32
bitnet_i2s               8        pp128       125.26     4.93
bitnet_i2s               8        pp512       111.79    11.05
bitnet_i2s               8       pp2048        98.69     9.55
bitnet_i2s              16        tg128        20.40     1.97
bitnet_i2s              16        pp128        67.30     4.48
bitnet_i2s              16        pp512        79.33     4.04
bitnet_i2s              16       pp2048        69.90     3.26
qwen_fp16                1        tg128         6.09     0.08
qwen_fp16                1        pp128        29.18     1.29
qwen_fp16                1        pp512        29.73     0.69
qwen_fp16                1       pp2048        27.20     1.43
qwen_fp16                2        tg128        10.52     0.29
qwen_fp16                2        pp128        47.23     1.28
qwen_fp16                2        pp512        49.46     1.29
qwen_fp16                2       pp2048        46.49     0.81
qwen_fp16                4        tg128        14.39     0.29
qwen_fp16                4        pp128        70.68     0.62
qwen_fp16                4        pp512        70.92     0.75
qwen_fp16                4       pp2048        65.98     1.21
qwen_fp16                8        tg128        13.20     0.63
qwen_fp16                8        pp128        87.41     0.95
qwen_fp16                8        pp512        84.22     5.53
qwen_fp16                8       pp2048        79.75     4.50
qwen_fp16               16        tg128        12.03     0.42
qwen_fp16               16        pp128        83.70     1.57
qwen_fp16               16        pp512        78.41     3.24
qwen_fp16               16       pp2048        75.80     1.48
qwen_q4_0                1        tg128        14.93     0.24
qwen_q4_0                1        pp128        37.10     5.59
qwen_q4_0                1        pp512        36.38     3.30
qwen_q4_0                1       pp2048        37.14     4.84
qwen_q4_0                2        tg128        27.73     0.55
qwen_q4_0                2        pp128        78.54     5.56
qwen_q4_0                2        pp512        79.10     4.30
qwen_q4_0                2       pp2048        73.61     1.64
qwen_q4_0                4        tg128        36.30     1.06
qwen_q4_0                4        pp128       109.26     6.53
qwen_q4_0                4        pp512       116.05     0.77
qwen_q4_0                4       pp2048       104.40     1.73
qwen_q4_0                8        tg128        34.23     3.56
qwen_q4_0                8        pp128       133.27     2.25
qwen_q4_0                8        pp512       123.45     8.88
qwen_q4_0                8       pp2048       116.01     1.23
qwen_q4_0               16        tg128        27.24     3.31
qwen_q4_0               16        pp128       132.34     3.50
qwen_q4_0               16        pp512       122.28     2.59
qwen_q4_0               16       pp2048       105.01     5.12
qwen_q4_k_m              1        tg128        15.74     0.44
qwen_q4_k_m              1        pp128        52.94     1.72
qwen_q4_k_m              1        pp512        54.42     1.62
qwen_q4_k_m              1       pp2048        48.24     0.87
qwen_q4_k_m              2        tg128        25.86     0.16
qwen_q4_k_m              2        pp128        82.52     1.22
qwen_q4_k_m              2        pp512        81.64     0.38
qwen_q4_k_m              2       pp2048        70.95     1.42
qwen_q4_k_m              4        tg128        33.83     0.25
qwen_q4_k_m              4        pp128       107.91     1.86
qwen_q4_k_m              4        pp512       107.56     2.67
qwen_q4_k_m              4       pp2048        96.06     0.37
qwen_q4_k_m              8        tg128        34.23     0.37
