
task	acc_norm	95% confidence interval
1	100.00000000%	[20.6549%, 100.0000%]
2	100.00000000%	[34.2380%, 100.0000%]
3	100.00000000%	[43.8503%, 100.0000%]
4	100.00000000%	[51.0109%, 100.0000%]
5	100.00000000%	[56.5518%, 100.0000%]
6	100.00000000%	[60.9666%, 100.0000%]
7	100.00000000%	[64.5670%, 100.0000%]
8	87.50000000%	[52.9112%, 97.7583%]
9	77.77777778%	[45.2589%, 93.6775%]
10	70.00000000%	[39.6778%, 89.2209%]
11	63.63636364%	[35.3801%, 84.8335%]
12	58.33333333%	[31.9511%, 80.6740%]
13	53.84615385%	[29.1438%, 76.7939%]
14	50.00000000%	[26.7992%, 73.2008%]
15	53.33333333%	[30.1170%, 75.1905%]
16	56.25000000%	[33.1786%, 76.9013%]
17	58.82352941%	[36.0054%, 78.3889%]
18	61.11111111%	[38.6190%, 79.6948%]
19	63.15789474%	[41.0395%, 80.8505%]
20	65.00000000%	[43.2854%, 81.8808%]
21	66.66666667%	[45.3735%, 82.8052%]
22	68.18181818%	[47.3186%, 83.6394%]
23	69.56521739%	[49.1342%, 84.3960%]
24	70.83333333%	[50.8323%, 85.0854%]
25	68.00000000%	[48.4103%, 82.7948%]
26	69.23076923%	[50.0117%, 83.4987%]
27	66.66666667%	[47.8248%, 81.3567%]
28	64.28571429%	[45.8303%, 79.2942%]
29	65.51724138%	[47.3451%, 80.0593%]
30	63.33333333%	[45.5136%, 78.1261%]
31	64.51612903%	[46.9480%, 78.8833%]
32	65.62500000%	[48.3111%, 79.5896%]
33	66.66666667%	[49.6079%, 80.2498%]
34	64.70588235%	[47.9140%, 78.5121%]
35	65.71428571%	[49.1519%, 79.1683%]
36	63.88888889%	[47.5751%, 77.5244%]
37	62.16216216%	[46.1004%, 75.9360%]
38	63.15789474%	[47.2840%, 76.6158%]
39	64.10256410%	[48.4181%, 77.2579%]
40	62.50000000%	[47.0324%, 75.7770%]
41	60.97560976%	[45.7269%, 74.3439%]
42	61.90476190%	[46.8140%, 75.0003%]
43	62.79069767%	[47.8598%, 75.6237%]
44	61.36363636%	[46.6236%, 74.2788%]
45	60.00000000%	[45.4519%, 72.9751%]
46	60.86956522%	[46.4568%, 73.6068%]
47	61.70212766%	[47.4266%, 74.2093%]
48	62.50000000%	[48.3628%, 74.7847%]
49	61.22448980%	[47.2460%, 73.5710%]
50	62.00000000%	[48.1504%, 74.1372%]
51	60.78431373%	[47.0852%, 72.9727%]
52	61.53846154%	[47.9599%, 73.5295%]
53	62.26415094%	[48.8069%, 74.0637%]
54	61.11111111%	[47.7883%, 72.9581%]
55	61.81818182%	[48.6092%, 73.4840%]
56	60.71428571%	[47.6334%, 72.4196%]
57	61.40350877%	[48.4297%, 72.9373%]
58	62.06896552%	[49.2028%, 73.4357%]
59	62.71186441%	[49.9536%, 73.9160%]
60	63.33333333%	[50.6830%, 74.3791%]
61	62.29508197%	[49.7479%, 73.3855%]
62	62.90322581%	[50.4580%, 73.8428%]
63	63.49206349%	[51.1487%, 74.2846%]
64	62.50000000%	[50.2504%, 73.3340%]
65	63.07692308%	[50.9238%, 73.7706%]
66	63.63636364%	[51.5796%, 74.1930%]
67	64.17910448%	[52.2185%, 74.6019%]
68	64.70588235%	[52.8411%, 74.9980%]
69	65.21739130%	[53.4479%, 75.3819%]
70	64.28571429%	[52.5884%, 74.4967%]
71	64.78873239%	[53.1821%, 74.8773%]
72	65.27777778%	[53.7613%, 75.2466%]
73	64.38356164%	[52.9335%, 74.3955%]
74	63.51351351%	[52.1318%, 73.5614%]
75	62.66666667%	[51.3550%, 72.7440%]
76	63.15789474%	[51.9251%, 73.1246%]
77	62.33766234%	[51.1728%, 72.3300%]
78	61.53846154%	[50.4428%, 71.5510%]
79	62.02531646%	[51.0019%, 71.9335%]
80	62.50000000%	[51.5487%, 72.3058%]
81	61.72839506%	[50.8412%, 71.5535%]
82	62.19512195%	[51.3771%, 71.9216%]
83	61.44578313%	[50.6901%, 71.1888%]
84	61.90476190%	[51.2154%, 71.5529%]
85	61.17647059%	[50.5477%, 70.8387%]
86	61.62790698%	[51.0629%, 71.1986%]
87	62.06896552%	[51.5676%, 71.5496%]
88	62.50000000%	[52.0622%, 71.8921%]
89	62.92134831%	[52.5470%, 72.2264%]
90	63.33333333%	[53.0223%, 72.5527%]
91	63.73626374%	[53.4883%, 72.8715%]
92	64.13043478%	[53.9453%, 73.1829%]
93	64.51612903%	[54.3935%, 73.4871%]
94	64.89361702%	[54.8332%, 73.7845%]
95	65.26315789%	[55.2646%, 74.0753%]
96	65.62500000%	[55.6880%, 74.3596%]
97	64.94845361%	[55.0491%, 73.7089%]
98	64.28571429%	[54.4252%, 73.0685%]
99	64.64646465%	[54.8436%, 73.3551%]
100	65.00000000%	[55.2544%, 73.6358%]
101	65.34653465%	[55.6580%, 73.9105%]
