
task	acc_norm	95% confidence interval
1	0.00000000%	[0.0000%, 79.3451%]
2	0.00000000%	[0.0000%, 65.7620%]
3	0.00000000%	[0.0000%, 56.1497%]
4	25.00000000%	[4.5587%, 69.9358%]
5	20.00000000%	[3.6224%, 62.4465%]
6	33.33333333%	[9.6771%, 70.0007%]
7	28.57142857%	[8.2219%, 64.1066%]
8	25.00000000%	[7.1479%, 59.0725%]
9	22.22222222%	[6.3225%, 54.7411%]
10	20.00000000%	[5.6682%, 50.9838%]
11	18.18181818%	[5.1368%, 47.6981%]
12	16.66666667%	[4.6965%, 44.8031%]
13	15.38461538%	[4.3258%, 42.2346%]
14	14.28571429%	[4.0094%, 39.9414%]
15	13.33333333%	[3.7361%, 37.8820%]
16	12.50000000%	[3.4977%, 36.0228%]
17	11.76470588%	[3.2880%, 34.3364%]
18	11.11111111%	[3.1020%, 32.7998%]
19	10.52631579%	[2.9359%, 31.3941%]
20	15.00000000%	[5.2369%, 36.0419%]
21	14.28571429%	[4.9810%, 34.6361%]
22	18.18181818%	[7.3069%, 38.5166%]
23	17.39130435%	[6.9787%, 37.1376%]
24	20.83333333%	[9.2448%, 40.4705%]
25	24.00000000%	[11.4963%, 43.4297%]
26	23.07692308%	[11.0338%, 42.0516%]
27	22.22222222%	[10.6072%, 40.7569%]
28	21.42857143%	[10.2125%, 39.5386%]
29	24.13793103%	[12.2184%, 42.1076%]
30	23.33333333%	[11.7924%, 40.9283%]
31	25.80645161%	[13.7017%, 43.2461%]
32	25.00000000%	[13.2524%, 42.1066%]
33	24.24242424%	[12.8317%, 41.0246%]
34	23.52941176%	[12.4370%, 39.9961%]
35	22.85714286%	[12.0659%, 39.0173%]
36	22.22222222%	[11.7163%, 38.0847%]
37	24.32432432%	[13.3614%, 40.1173%]
38	23.68421053%	[12.9937%, 39.2068%]
39	23.07692308%	[12.6458%, 38.3363%]
40	22.50000000%	[12.3161%, 37.5031%]
41	21.95121951%	[12.0032%, 36.7050%]
42	21.42857143%	[11.7058%, 35.9398%]
43	20.93023256%	[11.4228%, 35.2056%]
44	22.72727273%	[12.8419%, 36.9924%]
45	22.22222222%	[12.5447%, 36.2693%]
46	23.91304348%	[13.9122%, 37.9351%]
47	23.40425532%	[13.6033%, 37.2243%]
48	25.00000000%	[14.9206%, 38.7844%]
49	24.48979592%	[14.6023%, 38.0863%]
50	24.00000000%	[14.2974%, 37.4127%]
51	23.52941176%	[14.0049%, 36.7622%]
52	25.00000000%	[15.2332%, 38.2065%]
53	24.52830189%	[14.9329%, 37.5666%]
54	24.07407407%	[14.6443%, 36.9475%]
55	23.63636364%	[14.3667%, 36.3484%]
56	25.00000000%	[15.5171%, 37.6926%]
57	24.56140351%	[15.2328%, 37.1023%]
58	25.86206897%	[16.3455%, 38.3774%]
59	25.42372881%	[16.0560%, 37.7961%]
60	25.00000000%	[15.7765%, 37.2321%]
61	24.59016393%	[15.5067%, 36.6844%]
62	24.19354839%	[15.2459%, 36.1525%]
63	25.39682540%	[16.2804%, 37.3412%]
64	25.00000000%	[16.0149%, 36.8163%]
65	24.61538462%	[15.7580%, 36.3058%]
66	25.75757576%	[16.7488%, 37.4331%]
67	25.37313433%	[16.4879%, 36.9292%]
68	25.00000000%	[16.2350%, 36.4386%]
69	24.63768116%	[15.9898%, 35.9607%]
70	24.28571429%	[15.7519%, 35.4950%]
71	25.35211268%	[16.6806%, 36.5539%]
72	26.38888889%	[17.5938%, 37.5759%]
