
task	acc_norm	95% confidence interval
1	0.00000000%	[0.0000%, 79.3451%]
2	50.00000000%	[9.4531%, 90.5469%]
3	66.66666667%	[20.7660%, 93.8508%]
4	75.00000000%	[30.0642%, 95.4413%]
5	80.00000000%	[37.5535%, 96.3776%]
6	83.33333333%	[43.6497%, 96.9947%]
7	85.71428571%	[48.6872%, 97.4320%]
8	75.00000000%	[40.9275%, 92.8521%]
9	66.66666667%	[35.4202%, 87.9416%]
10	60.00000000%	[31.2674%, 83.1820%]
11	54.54545455%	[28.0092%, 78.7287%]
12	50.00000000%	[25.3782%, 74.6218%]
13	46.15384615%	[23.2061%, 70.8562%]
14	42.85714286%	[21.3808%, 67.4094%]
15	46.66666667%	[24.8095%, 69.8830%]
16	50.00000000%	[27.9996%, 72.0004%]
17	47.05882353%	[26.1651%, 69.0368%]
18	50.00000000%	[29.0310%, 70.9690%]
19	52.63157895%	[31.7078%, 72.6702%]
20	55.00000000%	[34.2085%, 74.1802%]
21	57.14285714%	[36.5466%, 75.5300%]
22	59.09090909%	[38.7348%, 76.7442%]
23	60.86956522%	[40.7855%, 77.8424%]
24	62.50000000%	[42.7100%, 78.8406%]
25	60.00000000%	[40.7395%, 76.5967%]
26	57.69230769%	[38.9486%, 74.4556%]
27	55.55555556%	[37.3130%, 72.4141%]
28	53.57142857%	[35.8127%, 70.4684%]
29	55.17241379%	[37.5480%, 71.5868%]
30	53.33333333%	[36.1423%, 69.7676%]
31	54.83870968%	[37.7722%, 70.8383%]
32	56.25000000%	[39.3256%, 71.8347%]
33	54.54545455%	[37.9859%, 70.1571%]
34	52.94117647%	[36.7367%, 68.5485%]
35	54.28571429%	[38.1897%, 69.5340%]
36	55.55555556%	[39.5811%, 70.4587%]
37	54.05405405%	[38.3840%, 68.9614%]
38	55.26315789%	[39.7063%, 69.8536%]
39	56.41025641%	[40.9757%, 70.6952%]
40	57.50000000%	[42.1951%, 71.4906%]
41	56.09756098%	[41.0405%, 70.1099%]
42	57.14285714%	[42.2062%, 70.8823%]
43	58.13953488%	[43.3286%, 71.6154%]
44	59.09090909%	[44.4098%, 72.3121%]
45	57.77777778%	[43.3008%, 71.0313%]
46	58.69565217%	[44.3395%, 71.7114%]
47	59.57446809%	[45.3421%, 72.3600%]
48	60.41666667%	[46.3104%, 72.9792%]
49	61.22448980%	[47.2460%, 73.5710%]
50	62.00000000%	[48.1504%, 74.1372%]
51	62.74509804%	[49.0252%, 74.6795%]
52	63.46153846%	[49.8717%, 75.1993%]
53	64.15094340%	[50.6911%, 75.6980%]
54	62.96296296%	[49.6275%, 74.5766%]
55	61.81818182%	[48.6092%, 73.4840%]
56	60.71428571%	[47.6334%, 72.4196%]
57	61.40350877%	[48.4297%, 72.9373%]
58	62.06896552%	[49.2028%, 73.4357%]
59	62.71186441%	[49.9536%, 73.9160%]
60	63.33333333%	[50.6830%, 74.3791%]
61	62.29508197%	[49.7479%, 73.3855%]
62	62.90322581%	[50.4580%, 73.8428%]
63	63.49206349%	[51.1487%, 74.2846%]
64	62.50000000%	[50.2504%, 73.3340%]
65	61.53846154%	[49.3842%, 72.4050%]
66	60.60606061%	[48.5484%, 71.4970%]
67	61.19402985%	[49.2231%, 71.9510%]
68	60.29411765%	[48.4161%, 71.0713%]
69	60.86956522%	[49.0740%, 71.5187%]
70	60.00000000%	[48.2938%, 70.6657%]
71	60.56338028%	[48.9358%, 71.1066%]
72	61.11111111%	[49.5624%, 71.5343%]
73	60.27397260%	[48.8074%, 70.7133%]
74	59.45945946%	[48.0758%, 69.9094%]
75	58.66666667%	[47.3665%, 69.1223%]
76	59.21052632%	[47.9786%, 69.5562%]
77	58.44155844%	[47.2900%, 68.7908%]
78	58.97435897%	[47.8881%, 69.2181%]
79	59.49367089%	[48.4732%, 69.6337%]
80	60.00000000%	[49.0455%, 70.0382%]
81	59.25925926%	[48.3763%, 69.3037%]
82	59.75609756%	[48.9365%, 69.7026%]
83	59.03614458%	[48.2858%, 68.9871%]
84	59.52380952%	[48.8342%, 69.3804%]
85	58.82352941%	[48.2010%, 68.6830%]
86	58.13953488%	[47.5845%, 67.9985%]
87	58.62068966%	[48.1216%, 68.3907%]
88	57.95454545%	[47.5208%, 67.7229%]
89	58.42696629%	[48.0471%, 68.1095%]
90	58.88888889%	[48.5632%, 68.4868%]
91	59.34065934%	[49.0694%, 68.8552%]
92	59.78260870%	[49.5660%, 69.2150%]
93	60.21505376%	[50.0531%, 69.5666%]
94	60.63829787%	[50.5311%, 69.9101%]
95	61.05263158%	[51.0002%, 70.2459%]
96	61.45833333%	[51.4607%, 70.5742%]
97	60.82474227%	[50.8761%, 69.9487%]
98	60.20408163%	[50.3050%, 69.3334%]
99	60.60606061%	[50.7580%, 69.6618%]
100	60.00000000%	[50.2003%, 69.0599%]
101	60.39603960%	[50.6457%, 69.3846%]
102	59.80392157%	[50.1007%, 68.7955%]
103	59.22330097%	[49.5676%, 68.2157%]
104	59.61538462%	[50.0059%, 68.5399%]
105	59.04761905%	[49.4845%, 67.9721%]
106	59.43396226%	[49.9155%, 68.2925%]
107	59.81308411%	[50.3395%, 68.6065%]
108	60.18518519%	[50.7564%, 68.9143%]
109	59.63302752%	[50.2466%, 68.3636%]
110	60.00000000%	[50.6570%, 68.6681%]
111	59.45945946%	[50.1579%, 68.1282%]
112	59.82142857%	[50.5621%, 68.4294%]
113	60.17699115%	[50.9598%, 68.7250%]
114	59.64912281%	[50.4712%, 68.1980%]
115	60.00000000%	[50.8630%, 68.4905%]
116	60.34482759%	[51.2488%, 68.7777%]
117	60.68376068%	[51.6286%, 69.0596%]
118	60.16949153%	[51.1504%, 68.5473%]
119	60.50420168%	[51.5249%, 68.8265%]
120	60.00000000%	[51.0560%, 68.3236%]
121	60.33057851%	[51.4253%, 68.6001%]
122	60.65573770%	[51.7891%, 68.8718%]
123	60.97560976%	[52.1476%, 69.1389%]
124	60.48387097%	[51.6884%, 68.6493%]
125	60.80000000%	[52.0421%, 68.9139%]
126	61.11111111%	[52.3907%, 69.1740%]
127	61.41732283%	[52.7344%, 69.4298%]
128	60.93750000%	[52.2846%, 68.9530%]
129	60.46511628%	[51.8427%, 68.4823%]
130	60.76923077%	[52.1824%, 68.7379%]
131	61.06870229%	[52.5174%, 68.9893%]
132	60.60606061%	[52.0838%, 68.5284%]
133	60.15037594%	[51.6575%, 68.0733%]
134	59.70149254%	[51.2383%, 67.6239%]
135	60.00000000%	[51.5698%, 67.8768%]
136	60.29411765%	[51.8969%, 68.1258%]
137	60.58394161%	[52.2196%, 68.3709%]
138	60.86956522%	[52.5382%, 68.6122%]
139	61.15107914%	[52.8525%, 68.8499%]
140	61.42857143%	[53.1628%, 69.0839%]
141	60.99290780%	[52.7525%, 68.6502%]
142	61.26760563%	[53.0592%, 68.8824%]
143	60.83916084%	[52.6557%, 68.4555%]
144	60.41666667%	[52.2585%, 68.0335%]
145	60.68965517%	[52.5620%, 68.2655%]
146	60.95890411%	[52.8618%, 68.4941%]
147	61.22448980%	[53.1579%, 68.7194%]
148	61.48648649%	[53.4503%, 68.9415%]
149	61.74496644%	[53.7391%, 69.1604%]
150	62.00000000%	[54.0244%, 69.3763%]
151	61.58940397%	[53.6355%, 68.9682%]
152	61.18421053%	[53.2523%, 68.5647%]
153	61.43790850%	[53.5350%, 68.7805%]
154	61.03896104%	[53.1578%, 68.3828%]
155	61.29032258%	[53.4375%, 68.5970%]
156	61.53846154%	[53.7140%, 68.8083%]
157	61.78343949%	[53.9872%, 69.0168%]
158	61.39240506%	[53.6165%, 68.6275%]
159	61.63522013%	[53.8870%, 68.8345%]
160	61.87500000%	[54.1544%, 69.0388%]
161	62.11180124%	[54.4187%, 69.2404%]
162	62.34567901%	[54.6800%, 69.4394%]
163	61.96319018%	[54.3160%, 69.0595%]
164	61.58536585%	[53.9570%, 68.6834%]
165	61.81818182%	[54.2162%, 68.8824%]
166	62.04819277%	[54.4725%, 69.0788%]
167	62.27544910%	[54.7261%, 69.2728%]
168	62.50000000%	[54.9768%, 69.4643%]
169	62.72189349%	[55.2248%, 69.6534%]
170	62.94117647%	[55.4702%, 69.8402%]
171	63.15789474%	[55.7129%, 70.0247%]
172	63.37209302%	[55.9529%, 70.2070%]
173	63.58381503%	[56.1905%, 70.3870%]
174	63.79310345%	[56.4255%, 70.5649%]
175	64.00000000%	[56.6580%, 70.7406%]
176	64.20454545%	[56.8881%, 70.9142%]
177	64.40677966%	[57.1158%, 71.0857%]
178	64.60674157%	[57.3411%, 71.2553%]
179	64.80446927%	[57.5640%, 71.4228%]
180	65.00000000%	[57.7847%, 71.5884%]
181	65.19337017%	[58.0031%, 71.7521%]
182	64.83516484%	[57.6567%, 71.4003%]
183	65.02732240%	[57.8735%, 71.5633%]
184	65.21739130%	[58.0880%, 71.7244%]
185	64.86486486%	[57.7469%, 71.3781%]
186	65.05376344%	[57.9598%, 71.5385%]
187	64.70588235%	[57.6233%, 71.1964%]
188	64.89361702%	[57.8347%, 71.3561%]
189	65.07936508%	[58.0439%, 71.5141%]
190	64.73684211%	[57.7124%, 71.1772%]
191	64.92146597%	[57.9201%, 71.3345%]
192	65.10416667%	[58.1258%, 71.4900%]
193	64.76683938%	[57.7991%, 71.1582%]
194	64.94845361%	[58.0033%, 71.3131%]
195	64.61538462%	[57.6809%, 70.9852%]
196	64.79591837%	[57.8836%, 71.1394%]
197	64.97461929%	[58.0844%, 71.2920%]
198	64.64646465%	[57.7666%, 70.9689%]
199	64.82412060%	[57.9659%, 71.1208%]
200	64.50000000%	[57.6521%, 70.8014%]
201	64.17910448%	[57.3418%, 70.4846%]
202	64.35643564%	[57.5402%, 70.6369%]
203	64.53201970%	[57.7367%, 70.7875%]
204	64.21568627%	[57.4306%, 70.4753%]
