
task	acc_norm	95% confidence interval
1	0.00000000%	[0.0000%, 79.3451%]
2	50.00000000%	[9.4531%, 90.5469%]
3	66.66666667%	[20.7660%, 93.8508%]
4	75.00000000%	[30.0642%, 95.4413%]
5	80.00000000%	[37.5535%, 96.3776%]
6	66.66666667%	[29.9993%, 90.3229%]
7	71.42857143%	[35.8934%, 91.7781%]
8	62.50000000%	[30.5742%, 86.3156%]
9	55.55555556%	[26.6651%, 81.1221%]
10	50.00000000%	[23.6593%, 76.3407%]
11	45.45454545%	[21.2713%, 71.9908%]
12	41.66666667%	[19.3260%, 68.0489%]
13	38.46153846%	[17.7097%, 64.4771%]
14	35.71428571%	[16.3447%, 61.2356%]
15	40.00000000%	[19.8245%, 64.2532%]
16	43.75000000%	[23.0987%, 66.8214%]
17	41.17647059%	[21.6111%, 63.9946%]
18	44.44444444%	[24.5595%, 66.2836%]
19	47.36842105%	[27.3298%, 68.2922%]
20	50.00000000%	[29.9298%, 70.0702%]
21	52.38095238%	[32.3695%, 71.6560%]
22	54.54545455%	[34.6598%, 73.0797%]
23	56.52173913%	[36.8114%, 74.3654%]
24	58.33333333%	[38.8347%, 75.5324%]
25	56.00000000%	[37.0673%, 73.3344%]
26	53.84615385%	[35.4579%, 71.2441%]
27	51.85185185%	[33.9856%, 69.2568%]
28	50.00000000%	[32.6331%, 67.3669%]
29	51.72413793%	[34.4310%, 68.6139%]
30	50.00000000%	[33.1541%, 66.8459%]
31	51.61290323%	[34.8404%, 68.0297%]
32	53.12500000%	[36.4495%, 69.1306%]
33	51.51515152%	[35.2184%, 67.4960%]
34	50.00000000%	[34.0693%, 65.9307%]
35	51.42857143%	[35.5688%, 67.0058%]
36	52.77777778%	[37.0059%, 68.0140%]
37	51.35135135%	[35.8949%, 66.5536%]
38	52.63157895%	[37.2590%, 67.5210%]
39	53.84615385%	[38.5694%, 68.4331%]
40	55.00000000%	[39.8291%, 69.2947%]
41	53.65853659%	[38.7465%, 67.9438%]
42	54.76190476%	[39.9491%, 68.7766%]
43	55.81395349%	[41.1076%, 69.5667%]
44	56.81818182%	[42.2241%, 70.3173%]
45	57.77777778%	[43.3008%, 71.0313%]
46	58.69565217%	[44.3395%, 71.7114%]
47	59.57446809%	[45.3421%, 72.3600%]
48	60.41666667%	[46.3104%, 72.9792%]
49	61.22448980%	[47.2460%, 73.5710%]
50	62.00000000%	[48.1504%, 74.1372%]
51	62.74509804%	[49.0252%, 74.6795%]
52	63.46153846%	[49.8717%, 75.1993%]
53	64.15094340%	[50.6911%, 75.6980%]
54	62.96296296%	[49.6275%, 74.5766%]
55	61.81818182%	[48.6092%, 73.4840%]
56	60.71428571%	[47.6334%, 72.4196%]
57	61.40350877%	[48.4297%, 72.9373%]
58	62.06896552%	[49.2028%, 73.4357%]
59	62.71186441%	[49.9536%, 73.9160%]
60	63.33333333%	[50.6830%, 74.3791%]
61	62.29508197%	[49.7479%, 73.3855%]
62	62.90322581%	[50.4580%, 73.8428%]
63	63.49206349%	[51.1487%, 74.2846%]
64	62.50000000%	[50.2504%, 73.3340%]
65	61.53846154%	[49.3842%, 72.4050%]
66	60.60606061%	[48.5484%, 71.4970%]
67	61.19402985%	[49.2231%, 71.9510%]
68	60.29411765%	[48.4161%, 71.0713%]
69	60.86956522%	[49.0740%, 71.5187%]
70	60.00000000%	[48.2938%, 70.6657%]
71	60.56338028%	[48.9358%, 71.1066%]
72	61.11111111%	[49.5624%, 71.5343%]
73	60.27397260%	[48.8074%, 70.7133%]
74	59.45945946%	[48.0758%, 69.9094%]
75	58.66666667%	[47.3665%, 69.1223%]
76	59.21052632%	[47.9786%, 69.5562%]
77	58.44155844%	[47.2900%, 68.7908%]
78	58.97435897%	[47.8881%, 69.2181%]
79	59.49367089%	[48.4732%, 69.6337%]
80	60.00000000%	[49.0455%, 70.0382%]
81	59.25925926%	[48.3763%, 69.3037%]
82	59.75609756%	[48.9365%, 69.7026%]
83	59.03614458%	[48.2858%, 68.9871%]
84	59.52380952%	[48.8342%, 69.3804%]
85	58.82352941%	[48.2010%, 68.6830%]
86	59.30232558%	[48.7383%, 69.0709%]
87	59.77011494%	[49.2647%, 69.4492%]
88	59.09090909%	[48.6481%, 68.7732%]
89	59.55056180%	[49.1642%, 69.1466%]
90	60.00000000%	[49.6703%, 69.5110%]
91	60.43956044%	[50.1666%, 69.8668%]
92	60.86956522%	[50.6534%, 70.2144%]
93	61.29032258%	[51.1310%, 70.5539%]
94	61.70212766%	[51.5996%, 70.8858%]
95	62.10526316%	[52.0594%, 71.2102%]
96	62.50000000%	[52.5107%, 71.5274%]
97	61.85567010%	[51.9127%, 70.8953%]
98	62.24489796%	[52.3566%, 71.2095%]
99	62.62626263%	[52.7924%, 71.5168%]
100	62.00000000%	[52.2098%, 70.9024%]
101	62.37623762%	[52.6386%, 71.2069%]
102	61.76470588%	[52.0698%, 70.6057%]
103	61.16504854%	[51.5134%, 70.0138%]
104	61.53846154%	[51.9362%, 70.3187%]
105	60.95238095%	[51.3924%, 69.7392%]
106	61.32075472%	[51.8086%, 70.0411%]
107	61.68224299%	[52.2177%, 70.3370%]
108	62.03703704%	[52.6201%, 70.6271%]
109	61.46788991%	[52.0896%, 70.0654%]
110	61.81818182%	[52.4860%, 70.3528%]
111	61.26126126%	[51.9669%, 69.8023%]
112	61.60714286%	[52.3575%, 70.0870%]
113	61.94690265%	[52.7419%, 70.3664%]
114	61.40350877%	[52.2343%, 69.8292%]
115	61.73913043%	[52.6132%, 70.1061%]
116	62.06896552%	[52.9863%, 70.3779%]
117	62.39316239%	[53.3536%, 70.6448%]
118	61.86440678%	[52.8577%, 70.1230%]
119	62.18487395%	[53.2200%, 70.3876%]
120	61.66666667%	[52.7341%, 69.8755%]
121	61.98347107%	[53.0916%, 70.1379%]
122	62.29508197%	[53.4438%, 70.3957%]
123	62.60162602%	[53.7909%, 70.6491%]
124	62.09677419%	[53.3156%, 70.1509%]
125	62.40000000%	[53.6583%, 70.4023%]
126	62.69841270%	[53.9960%, 70.6495%]
127	62.99212598%	[54.3288%, 70.8925%]
128	62.50000000%	[53.8640%, 70.4076%]
129	62.01550388%	[53.4073%, 69.9288%]
130	62.30769231%	[53.7367%, 70.1722%]
131	62.59541985%	[54.0616%, 70.4116%]
132	62.12121212%	[53.6139%, 69.9430%]
133	61.65413534%	[53.1737%, 69.4802%]
134	61.19402985%	[52.7410%, 69.0231%]
135	61.48148148%	[53.0630%, 69.2646%]
136	61.76470588%	[53.3807%, 69.5024%]
137	62.04379562%	[53.6941%, 69.7365%]
138	62.31884058%	[54.0035%, 69.9670%]
139	61.87050360%	[53.5797%, 69.5228%]
140	62.14285714%	[53.8855%, 69.7516%]
141	61.70212766%	[53.4691%, 69.3145%]
142	61.97183099%	[53.7714%, 69.5416%]
143	61.53846154%	[53.3620%, 69.1112%]
144	61.11111111%	[52.9589%, 68.6859%]
145	61.37931034%	[53.2583%, 68.9129%]
146	61.64383562%	[53.5540%, 69.1367%]
147	61.90476190%	[53.8460%, 69.3572%]
148	61.48648649%	[53.4503%, 68.9415%]
149	61.74496644%	[53.7391%, 69.1604%]
150	62.00000000%	[54.0244%, 69.3763%]
151	61.58940397%	[53.6355%, 68.9682%]
152	61.18421053%	[53.2523%, 68.5647%]
153	61.43790850%	[53.5350%, 68.7805%]
154	61.03896104%	[53.1578%, 68.3828%]
155	61.29032258%	[53.4375%, 68.5970%]
156	61.53846154%	[53.7140%, 68.8083%]
157	61.78343949%	[53.9872%, 69.0168%]
158	62.02531646%	[54.2573%, 69.2225%]
159	62.26415094%	[54.5243%, 69.4254%]
160	62.50000000%	[54.7882%, 69.6257%]
161	62.73291925%	[55.0491%, 69.8233%]
162	62.96296296%	[55.3070%, 70.0184%]
163	62.57668712%	[54.9384%, 69.6358%]
164	62.19512195%	[54.5748%, 69.2572%]
165	62.42424242%	[54.8308%, 69.4524%]
166	62.65060241%	[55.0839%, 69.6451%]
167	62.87425150%	[55.3342%, 69.8353%]
168	63.09523810%	[55.5818%, 70.0232%]
169	63.31360947%	[55.8266%, 70.2088%]
170	63.52941176%	[56.0689%, 70.3920%]
171	63.74269006%	[56.3085%, 70.5730%]
172	63.95348837%	[56.5455%, 70.7518%]
173	64.16184971%	[56.7800%, 70.9284%]
174	64.36781609%	[57.0120%, 71.1029%]
175	64.57142857%	[57.2416%, 71.2753%]
176	64.77272727%	[57.4687%, 71.4456%]
177	64.97175141%	[57.6935%, 71.6140%]
178	65.16853933%	[57.9159%, 71.7803%]
179	65.36312849%	[58.1360%, 71.9447%]
180	65.55555556%	[58.3539%, 72.1072%]
181	65.74585635%	[58.5695%, 72.2677%]
182	65.38461538%	[58.2193%, 71.9139%]
183	65.57377049%	[58.4333%, 72.0738%]
184	65.76086957%	[58.6452%, 72.2319%]
185	65.40540541%	[58.3004%, 71.8836%]
186	65.59139785%	[58.5107%, 72.0411%]
187	65.24064171%	[58.1706%, 71.6971%]
188	65.42553191%	[58.3794%, 71.8539%]
189	65.60846561%	[58.5860%, 72.0090%]
190	65.26315789%	[58.2511%, 71.6703%]
191	65.44502618%	[58.4563%, 71.8248%]
192	65.10416667%	[58.1258%, 71.4900%]
193	64.76683938%	[57.7991%, 71.1582%]
194	64.94845361%	[58.0033%, 71.3131%]
195	64.61538462%	[57.6809%, 70.9852%]
196	64.79591837%	[57.8836%, 71.1394%]
197	64.97461929%	[58.0844%, 71.2920%]
198	64.64646465%	[57.7666%, 70.9689%]
199	64.82412060%	[57.9659%, 71.1208%]
200	64.50000000%	[57.6521%, 70.8014%]
201	64.17910448%	[57.3418%, 70.4846%]
202	64.35643564%	[57.5402%, 70.6369%]
203	64.53201970%	[57.7367%, 70.7875%]
204	64.21568627%	[57.4306%, 70.4753%]
