
task	acc_norm	95% confidence interval
1	0.00000000%	[0.0000%, 79.3451%]
2	50.00000000%	[9.4531%, 90.5469%]
3	66.66666667%	[20.7660%, 93.8508%]
4	75.00000000%	[30.0642%, 95.4413%]
5	80.00000000%	[37.5535%, 96.3776%]
6	83.33333333%	[43.6497%, 96.9947%]
7	85.71428571%	[48.6872%, 97.4320%]
8	75.00000000%	[40.9275%, 92.8521%]
9	66.66666667%	[35.4202%, 87.9416%]
10	60.00000000%	[31.2674%, 83.1820%]
11	54.54545455%	[28.0092%, 78.7287%]
12	50.00000000%	[25.3782%, 74.6218%]
13	46.15384615%	[23.2061%, 70.8562%]
14	42.85714286%	[21.3808%, 67.4094%]
15	46.66666667%	[24.8095%, 69.8830%]
16	50.00000000%	[27.9996%, 72.0004%]
17	47.05882353%	[26.1651%, 69.0368%]
18	50.00000000%	[29.0310%, 70.9690%]
19	52.63157895%	[31.7078%, 72.6702%]
20	55.00000000%	[34.2085%, 74.1802%]
21	57.14285714%	[36.5466%, 75.5300%]
22	59.09090909%	[38.7348%, 76.7442%]
23	60.86956522%	[40.7855%, 77.8424%]
24	62.50000000%	[42.7100%, 78.8406%]
25	60.00000000%	[40.7395%, 76.5967%]
26	57.69230769%	[38.9486%, 74.4556%]
27	55.55555556%	[37.3130%, 72.4141%]
28	53.57142857%	[35.8127%, 70.4684%]
29	55.17241379%	[37.5480%, 71.5868%]
30	53.33333333%	[36.1423%, 69.7676%]
31	54.83870968%	[37.7722%, 70.8383%]
32	56.25000000%	[39.3256%, 71.8347%]
33	54.54545455%	[37.9859%, 70.1571%]
34	52.94117647%	[36.7367%, 68.5485%]
35	54.28571429%	[38.1897%, 69.5340%]
36	55.55555556%	[39.5811%, 70.4587%]
37	54.05405405%	[38.3840%, 68.9614%]
38	55.26315789%	[39.7063%, 69.8536%]
39	56.41025641%	[40.9757%, 70.6952%]
40	57.50000000%	[42.1951%, 71.4906%]
41	56.09756098%	[41.0405%, 70.1099%]
42	57.14285714%	[42.2062%, 70.8823%]
43	58.13953488%	[43.3286%, 71.6154%]
44	59.09090909%	[44.4098%, 72.3121%]
45	57.77777778%	[43.3008%, 71.0313%]
46	58.69565217%	[44.3395%, 71.7114%]
47	59.57446809%	[45.3421%, 72.3600%]
48	60.41666667%	[46.3104%, 72.9792%]
49	61.22448980%	[47.2460%, 73.5710%]
50	62.00000000%	[48.1504%, 74.1372%]
51	62.74509804%	[49.0252%, 74.6795%]
52	63.46153846%	[49.8717%, 75.1993%]
53	64.15094340%	[50.6911%, 75.6980%]
54	62.96296296%	[49.6275%, 74.5766%]
55	61.81818182%	[48.6092%, 73.4840%]
56	60.71428571%	[47.6334%, 72.4196%]
57	61.40350877%	[48.4297%, 72.9373%]
58	62.06896552%	[49.2028%, 73.4357%]
59	62.71186441%	[49.9536%, 73.9160%]
60	63.33333333%	[50.6830%, 74.3791%]
61	62.29508197%	[49.7479%, 73.3855%]
62	62.90322581%	[50.4580%, 73.8428%]
63	63.49206349%	[51.1487%, 74.2846%]
64	62.50000000%	[50.2504%, 73.3340%]
65	61.53846154%	[49.3842%, 72.4050%]
66	60.60606061%	[48.5484%, 71.4970%]
67	61.19402985%	[49.2231%, 71.9510%]
68	61.76470588%	[49.8807%, 72.3906%]
69	62.31884058%	[50.5219%, 72.8165%]
70	61.42857143%	[49.7157%, 71.9523%]
71	61.97183099%	[50.3419%, 72.3728%]
72	62.50000000%	[50.9529%, 72.7808%]
73	61.64383562%	[50.1741%, 71.9494%]
74	60.81081081%	[49.4195%, 71.1351%]
75	60.00000000%	[48.6880%, 70.3375%]
76	60.52631579%	[49.2863%, 70.7534%]
77	59.74025974%	[48.5769%, 69.9780%]
78	60.25641026%	[49.1619%, 70.3881%]
79	60.75949367%	[49.7340%, 70.7871%]
80	61.25000000%	[50.2937%, 71.1754%]
81	60.49382716%	[49.6055%, 70.4319%]
82	60.97560976%	[50.1536%, 70.8153%]
83	60.24096386%	[49.4848%, 70.0911%]
84	60.71428571%	[50.0218%, 70.4697%]
85	60.00000000%	[49.3714%, 69.7638%]
86	60.46511628%	[49.8977%, 70.1376%]
87	60.91954023%	[50.4134%, 70.5022%]
88	61.36363636%	[50.9188%, 70.8579%]
89	61.79775281%	[51.4141%, 71.2051%]
90	62.22222222%	[51.8998%, 71.5440%]
91	62.63736264%	[52.3760%, 71.8750%]
92	63.04347826%	[52.8430%, 72.1984%]
93	63.44086022%	[53.3011%, 72.5143%]
94	63.82978723%	[53.7505%, 72.8231%]
95	64.21052632%	[54.1915%, 73.1250%]
96	64.58333333%	[54.6243%, 73.4202%]
97	63.91752577%	[53.9992%, 72.7755%]
98	63.26530612%	[53.3888%, 72.1411%]
99	63.63636364%	[53.8159%, 72.4381%]
100	63.00000000%	[53.2205%, 71.8176%]
101	63.36633663%	[53.6410%, 72.1121%]
102	62.74509804%	[53.0600%, 71.5050%]
103	62.13592233%	[52.4919%, 70.9073%]
104	62.50000000%	[52.9067%, 71.2027%]
105	61.90476190%	[52.3517%, 70.6175%]
106	62.26415094%	[52.7602%, 70.9102%]
107	62.61682243%	[53.1619%, 71.1972%]
108	62.96296296%	[53.5570%, 71.4785%]
109	62.38532110%	[53.0159%, 70.9115%]
110	62.72727273%	[53.4052%, 71.1904%]
111	62.16216216%	[52.8760%, 70.6347%]
112	62.50000000%	[53.2597%, 70.9112%]
113	62.83185841%	[53.6374%, 71.1826%]
114	62.28070175%	[53.1202%, 70.6405%]
115	62.60869565%	[53.4926%, 70.9096%]
116	62.93103448%	[53.8593%, 71.1738%]
117	63.24786325%	[54.2203%, 71.4332%]
118	62.71186441%	[53.7153%, 70.9068%]
119	63.02521008%	[54.0716%, 71.1642%]
120	62.50000000%	[53.5770%, 70.6476%]
121	62.80991736%	[53.9285%, 70.9030%]
122	63.11475410%	[54.2749%, 71.1539%]
123	63.41463415%	[54.6162%, 71.4006%]
124	62.90322581%	[54.1328%, 70.8982%]
125	63.20000000%	[54.4699%, 71.1430%]
126	63.49206349%	[54.8020%, 71.3837%]
127	63.77952756%	[55.1295%, 71.6205%]
128	63.28125000%	[54.6570%, 71.1315%]
129	62.79069767%	[54.1928%, 70.6488%]
130	63.07692308%	[54.5171%, 70.8861%]
131	63.35877863%	[54.8368%, 71.1196%]
132	62.87878788%	[54.3820%, 70.6472%]
133	62.40601504%	[53.9348%, 70.1807%]
134	61.94029851%	[53.4953%, 69.7198%]
135	62.22222222%	[53.8124%, 69.9557%]
136	62.50000000%	[54.1254%, 70.1879%]
137	62.77372263%	[54.4342%, 70.4165%]
138	63.04347826%	[54.7389%, 70.6416%]
139	63.30935252%	[55.0396%, 70.8633%]
140	63.57142857%	[55.3364%, 71.0816%]
141	63.12056738%	[54.9075%, 70.6377%]
142	63.38028169%	[55.2011%, 70.8546%]
143	62.93706294%	[54.7796%, 70.4177%]
144	62.50000000%	[54.3647%, 69.9858%]
145	62.75862069%	[54.6557%, 70.2030%]
146	62.32876712%	[54.2477%, 69.7777%]
147	62.58503401%	[54.5356%, 69.9935%]
148	62.83783784%	[54.8200%, 70.2062%]
149	63.08724832%	[55.1008%, 70.4158%]
150	63.33333333%	[55.3782%, 70.6226%]
151	62.91390728%	[54.9786%, 70.2085%]
152	62.50000000%	[54.5848%, 69.7990%]
153	62.74509804%	[54.8599%, 70.0059%]
154	62.33766234%	[54.4724%, 69.6024%]
155	62.58064516%	[54.7448%, 69.8080%]
156	62.82051282%	[55.0139%, 70.0109%]
157	63.05732484%	[55.2799%, 70.2110%]
158	62.65822785%	[54.8994%, 69.8161%]
159	62.89308176%	[55.1629%, 70.0150%]
160	63.12500000%	[55.4233%, 70.2113%]
161	63.35403727%	[55.6807%, 70.4050%]
162	63.58024691%	[55.9352%, 70.5961%]
163	63.19018405%	[55.5620%, 70.2110%]
164	62.80487805%	[55.1939%, 69.8297%]
165	63.03030303%	[55.4466%, 70.0211%]
166	63.25301205%	[55.6964%, 70.2101%]
167	63.47305389%	[55.9435%, 70.3967%]
168	63.69047619%	[56.1879%, 70.5810%]
169	63.90532544%	[56.4296%, 70.7630%]
170	64.11764706%	[56.6687%, 70.9427%]
171	64.32748538%	[56.9052%, 71.1202%]
172	64.53488372%	[57.1392%, 71.2956%]
173	64.73988439%	[57.3706%, 71.4688%]
174	64.94252874%	[57.5996%, 71.6399%]
175	65.14285714%	[57.8262%, 71.8090%]
176	65.34090909%	[58.0504%, 71.9761%]
177	65.53672316%	[58.2722%, 72.1411%]
178	65.73033708%	[58.4918%, 72.3043%]
179	65.92178771%	[58.7090%, 72.4655%]
180	66.11111111%	[58.9240%, 72.6249%]
181	66.29834254%	[59.1368%, 72.7824%]
182	65.93406593%	[58.7829%, 72.4265%]
183	66.12021858%	[58.9942%, 72.5834%]
184	66.30434783%	[59.2033%, 72.7386%]
185	65.94594595%	[58.8549%, 72.3883%]
186	66.12903226%	[59.0625%, 72.5429%]
187	65.77540107%	[58.7189%, 72.1969%]
188	65.95744681%	[58.9250%, 72.3508%]
189	66.13756614%	[59.1291%, 72.5031%]
190	65.78947368%	[58.7907%, 72.1625%]
191	65.96858639%	[58.9933%, 72.3142%]
192	66.14583333%	[59.1940%, 72.4642%]
193	65.80310881%	[58.8607%, 72.1287%]
194	65.97938144%	[59.0600%, 72.2782%]
195	65.64102564%	[58.7311%, 71.9467%]
196	65.81632653%	[58.9290%, 72.0956%]
197	65.98984772%	[59.1250%, 72.2430%]
198	65.65656566%	[58.8009%, 71.9163%]
199	65.82914573%	[58.9956%, 72.0631%]
200	65.50000000%	[58.6756%, 71.7402%]
201	65.17412935%	[58.3592%, 71.4200%]
202	65.34653465%	[58.5530%, 71.5672%]
203	65.51724138%	[58.7451%, 71.7130%]
204	65.19607843%	[58.4331%, 71.3973%]
